material,thickness,particle_type,energy,heating_mean,heating_std,total_mean,total_std,flux_mean,flux_std,sensitivity_mean,sensitivity_std,total_prob_mean,total_prob_std
diamond,0.05,neutron,7800000.0,69.48356965898456,2.030968704934344,8.984543569997025e-05,4.33327789877626e-07,0.0002524399010335634,1.2184480288529914e-06,8.908149956280073e-06,2.6038060319671077e-07,8.984543569997025e-05,4.33327789877626e-07
diamond,0.05,neutron,7900000.0,61.26920927042239,2.384645235968346,8.379033755914532e-05,3.7675213664336753e-07,0.0002508339439299704,1.1257573455716397e-06,7.755596110180048e-06,3.018538273377653e-07,8.379033755914532e-05,3.7675213664336753e-07
diamond,0.05,neutron,8000000.0,60.0926346740788,2.0588422398230986,8.303758353764885e-05,3.9721438380865406e-07,0.00025191841694865736,1.2059265071966405e-06,7.51157933425985e-06,2.573552799778873e-07,8.303758353764885e-05,3.9721438380865406e-07
diamond,0.05,neutron,8100000.0,46.86039757606792,1.5529934558484118,7.650548833493488e-05,3.641262796580267e-07,0.00024990108562066954,1.195825895193136e-06,5.78523426865036e-06,1.9172758714177923e-07,7.650548833493488e-05,3.641262796580267e-07
diamond,0.05,neutron,8200000.0,41.91389554962092,1.514320418875597,6.111223785869698e-05,2.9830098556163567e-07,0.00025153130807382864,1.2225793500847687e-06,5.111450676783039e-06,1.846732218140972e-07,6.111223785869698e-05,2.9830098556163567e-07
diamond,0.05,neutron,8300000.0,39.17010964622335,1.6543437447141727,5.326302013378804e-05,2.3183612195247926e-07,0.000252486536642138,1.0951915651943745e-06,4.719290318822091e-06,1.9931852345953888e-07,5.326302013378804e-05,2.3183612195247926e-07
diamond,0.05,neutron,8400000.0,38.28780752590546,1.7910032266506404,4.947590834924988e-05,2.352212422460137e-07,0.00025087432502928853,1.1944061031237174e-06,4.5580723245125545e-06,2.1321466983936196e-07,4.947590834924988e-05,2.352212422460137e-07
diamond,0.05,neutron,8500000.0,41.96837705613527,1.8215517404149109,4.777005846224997e-05,2.429722449472354e-07,0.000251523660643783,1.2796226344815382e-06,4.937456124251208e-06,2.143002047546954e-07,4.777005846224997e-05,2.429722449472354e-07
diamond,0.05,neutron,8600000.0,44.82122966042598,1.8123996382890735,4.79503118210555e-05,1.8613654920948856e-07,0.0002533395115711327,9.838886007337761e-07,5.211770890747207e-06,2.1074414398710156e-07,4.79503118210555e-05,1.8613654920948856e-07
diamond,0.05,neutron,8700000.0,48.961995607581514,2.272750402751927,4.7124295504439506e-05,2.109600260337324e-07,0.00025033852285807136,1.120760058189469e-06,5.627815587078335e-06,2.61235678477233e-07,4.7124295504439506e-05,2.109600260337324e-07
diamond,0.05,neutron,8800000.0,55.808883580768104,2.7955093662908475,4.787170443330396e-05,2.2309480863484592e-07,0.0002502912463582872,1.1651521847255873e-06,6.3419185887236485e-06,3.176715188966872e-07,4.787170443330396e-05,2.2309480863484592e-07
diamond,0.05,neutron,8900000.0,60.15457017667914,2.8139705424101225,4.925761563831634e-05,2.1415412035437697e-07,0.0002510652070081591,1.0921891753180968e-06,6.75894046928979e-06,3.161764654393396e-07,4.925761563831634e-05,2.1415412035437697e-07
diamond,0.05,neutron,9000000.0,74.18887883325075,3.3639283741238386,5.308472522715647e-05,2.3231460013575072e-07,0.00025274893505297663,1.1097402708826756e-06,8.243208759250084e-06,3.7376981934709316e-07,5.308472522715647e-05,2.3231460013575072e-07
diamond,0.05,neutron,9100000.0,86.96085759146867,3.465587598892775,5.680013141066727e-05,2.799020660458303e-07,0.0002500199723421375,1.2358632442891806e-06,9.55613819686469e-06,3.8083380207612913e-07,5.680013141066727e-05,2.799020660458303e-07
